plugin_name,install_count,pr_url,is_merged,build_status
script-security,202619,FALSE,,success
structs,202235,FALSE,,build_failed
mailer,202116,https://github.com/jenkinsci/mailer-plugin/pull/381,TRUE,success
scm-api,202114,FALSE,,success
workflow-step-api,202031,FALSE,,success
credentials,201987,FALSE,,success
display-url-api,201728,FALSE,,build_failed
bouncycastle-api,201692,FALSE,,build_failed
ssh-credentials,201567,FALSE,,build_failed
workflow-api,200861,FALSE,,success
workflow-scm-step,200444,FALSE,,success
apache-httpcomponents-client-4-api,200288,FALSE,,success
workflow-support,199978,FALSE,,success
jackson2-api,199316,FALSE,,success
junit,199034,FALSE,,success
plain-credentials,198940,FALSE,,build_failed
git-client,198124,FALSE,,success
credentials-binding,197742,FALSE,,build_failed
matrix-project,197437,FALSE,,success
token-macro,196709,FALSE,,success
cloudbees-folder,196691,FALSE,,build_failed
git,196667,FALSE,,success
workflow-job,196253,FALSE,,success
durable-task,195628,FALSE,,success
workflow-cps,194949,FALSE,,success
workflow-durable-task-step,194361,FALSE,,success
antisamy-markup-formatter,194146,FALSE,,build_failed
branch-api,193830,FALSE,,success
trilead-api,193627,FALSE,,success
workflow-basic-steps,193008,FALSE,,success
pipeline-stage-step,192740,FALSE,,success
pipeline-input-step,192278,FALSE,,success
workflow-multibranch,192201,FALSE,,success
pipeline-stage-tags-metadata,191514,FALSE,,success
pipeline-model-api,191439,FALSE,,success
pipeline-build-step,191063,FALSE,,success
pipeline-model-extensions,190247,FALSE,,success
pipeline-milestone-step,190054,FALSE,,build_failed
snakeyaml-api,189963,FALSE,,success
pipeline-model-definition,188925,FALSE,,success
pipeline-graph-analysis,187210,FALSE,,success
plugin-util-api,186964,FALSE,,build_failed
jquery3-api,186790,FALSE,,build_failed
matrix-auth,186292,FALSE,,success
font-awesome-api,186171,FALSE,,build_failed
echarts-api,185786,FALSE,,build_failed
caffeine-api,184785,FALSE,,success
checks-api,184577,FALSE,,success
workflow-aggregator,183637,FALSE,,build_failed
variant,179929,FALSE,,build_failed
jaxb,179835,FALSE,,success
ssh-slaves,179777,FALSE,,success
bootstrap5-api,179264,FALSE,,build_failed
javax-activation-api,178526,FALSE,,success
resource-disposer,178132,FALSE,,success
github-api,176697,FALSE,,build_failed
timestamper,176340,FALSE,,success
ws-cleanup,175775,FALSE,,success
okhttp-api,175072,FALSE,,build_failed
ldap,174202,FALSE,,build_failed
github,174091,FALSE,,build_failed
pam-auth,171609,FALSE,,build_failed
email-ext,170725,FALSE,,success
github-branch-source,170566,FALSE,,success
mina-sshd-api-common,168246,FALSE,,success
ant,167949,FALSE,,build_failed
jakarta-activation-api,167939,FALSE,,success
jakarta-mail-api,167917,FALSE,,success
mina-sshd-api-core,167061,FALSE,,success
build-timeout,166274,FALSE,,success
commons-lang3-api,165286,FALSE,,success
ionicons-api,164442,FALSE,,build_failed
instance-identity,162883,FALSE,,success
commons-text-api,162358,FALSE,,success
pipeline-groovy-lib,162218,FALSE,,success
jjwt-api,160198,FALSE,,build_failed
gradle,159032,FALSE,,success
javax-mail-api,152745,FALSE,,success
pipeline-github-lib,152196,FALSE,,build_failed
command-launcher,146835,FALSE,,build_failed
jdk-tool,146789,FALSE,,build_failed
pipeline-rest-api,144171,FALSE,,build_failed
sshd,143567,FALSE,,success
jsch,142534,FALSE,,build_failed
pipeline-stage-view,141108,FALSE,,build_failed
gson-api,138158,FALSE,,success
json-path-api,134553,FALSE,,success
json-api,133298,FALSE,,success
joda-time-api,130366,FALSE,,success
asm-api,128420,FALSE,,success
eddsa-api,120024,FALSE,,build_failed
authentication-tokens,113990,https://github.com/jenkinsci/authentication-tokens-plugin/pull/223,TRUE,success
javadoc,99468,FALSE,,success
metrics,95706,FALSE,,success
maven-plugin,90767,FALSE,,success
docker-commons,89554,FALSE,,build_failed
git-server,86603,FALSE,,build_failed
config-file-provider,83300,https://github.com/jenkinsci/config-file-provider-plugin/pull/384,TRUE,success
docker-workflow,79021,FALSE,,build_failed
ace-editor,77939,FALSE,,not_in_csv
theme-manager,74050,FALSE,,success
lockable-resources,73627,FALSE,,success
htmlpublisher,73422,FALSE,,build_failed
momentjs,72886,FALSE,,not_in_csv
role-strategy,72466,FALSE,,success
dark-theme,70837,FALSE,,success
