plugin_name,popularity,build_status
workflow-step-api,275578,success
structs,275922,success
script-security,276424,success
scm-api,275604,success
display-url-api,275160,success
credentials,275172,success
bouncycastle-api,275180,success
mailer,275517,success
ssh-credentials,274670,success
apache-httpcomponents-client-4-api,272942,success
workflow-scm-step,273157,success
workflow-api,273745,success
jackson2-api,271487,success
workflow-support,272428,success
plain-credentials,270915,success
credentials-binding,269283,success
git-client,269698,success
matrix-project,268158,success
junit,270584,success
cloudbees-folder,267603,success
token-macro,267029,success
git,267611,success
workflow-job,266978,success
durable-task,266015,success
antisamy-markup-formatter,263688,success
workflow-durable-task-step,264144,success
trilead-api,263455,success
branch-api,263562,success
pipeline-stage-step,262033,success
workflow-basic-steps,262297,success
pipeline-input-step,261404,success
workflow-multibranch,261245,success
pipeline-build-step,259769,success
workflow-cps,265079,success
snakeyaml-api,259085,success
pipeline-milestone-step,258380,success
pipeline-stage-tags-metadata,260276,success
pipeline-model-api,260163,success
pipeline-model-extensions,258456,success
pipeline-graph-analysis,254041,success
jquery3-api,254250,success
pipeline-model-definition,256579,success
plugin-util-api,254537,success
caffeine-api,252390,success
matrix-auth,253282,success
font-awesome-api,253520,success
checks-api,251213,success
workflow-aggregator,249653,success
echarts-api,252632,success
jaxb,245755,success
javax-activation-api,244342,success
variant,245425,success
ssh-slaves,244425,success
resource-disposer,242069,success
github-api,240865,success
okhttp-api,238633,success
timestamper,239826,success
ws-cleanup,238783,success
bootstrap5-api,244333,success
pam-auth,233677,success
ldap,236783,success
github-branch-source,232348,success
github,237149,success
jakarta-activation-api,230231,success
email-ext,231744,success
jakarta-mail-api,230184,success
mina-sshd-api-common,230545,success
ant,229258,success
commons-lang3-api,226490,success
mina-sshd-api-core,228814,success
build-timeout,227056,success
ionicons-api,225497,success
commons-text-api,222314,success
instance-identity,223684,success
jjwt-api,218491,success
pipeline-groovy-lib,221614,success
pipeline-github-lib,208760,success
javax-mail-api,201846,success
gson-api,191053,success
command-launcher,189984,success
jdk-tool,189846,success
sshd,187375,success
json-path-api,185343,success
jsch,185288,success
json-api,184534,success
gradle,217525,success
joda-time-api,179981,success
asm-api,178164,success
authentication-tokens,148559,success
eddsa-api,166474,success
pipeline-rest-api,186194,success
pipeline-stage-view,181739,success
javadoc,128664,success
metrics,136557,success
git-server,110281,success
docker-commons,116128,success
theme-manager,108706,success
maven-plugin,117373,success
docker-workflow,102085,success
config-file-provider,106774,success
dark-theme,104532,success
htmlpublisher,93918,success
handy-uri-templates-2-api,82241,success
lockable-resources,92201,success
role-strategy,89357,success
workflow-cps-global-lib,79063,success
mapdb-api,78845,success
jersey2-api,72276,success
subversion,72810,success
pipeline-graph-view,92088,success
favorite,71993,success
pubsub-light,71828,build_failed
external-monitor-job,71329,success
popper2-api,78242,build_failed
jenkins-design-language,69308,build_failed
jquery,69122,success
cloudbees-bitbucket-branch-source,69935,success
blueocean-rest,69203,build_failed
blueocean-commons,69570,build_failed
parameterized-trigger,67139,success
data-tables-api,67001,success
publish-over,66680,build_failed
blueocean-web,66659,build_failed
blueocean-core-js,66949,build_failed
blueocean-pipeline-scm-api,66237,build_failed
nodejs,66096,success
blueocean-jwt,66216,build_failed
blueocean-rest-impl,65266,build_failed
ssh-agent,63449,success
sse-gateway,64611,build_failed
blueocean-pipeline-api-impl,64554,build_failed
localization-support,62747,success
apache-httpcomponents-client-5-api,62569,success
popper-api,63669,build_failed
pipeline-utility-steps,61823,success
blueocean-git-pipeline,61884,build_failed
blueocean-dashboard,61606,build_failed
publish-over-ssh,61041,success
blueocean-github-pipeline,60910,build_failed
blueocean-i18n,59884,build_failed
blueocean-display-url,59794,build_failed
run-condition,60063,success
blueocean-personalization,59647,build_failed
blueocean-config,59538,build_failed
localization-zh-cn,61752,build_failed
bootstrap4-api,60116,build_failed
git-parameter,58419,success
blueocean-pipeline-editor,59251,build_failed
jquery-detached,55600,no_build_file
blueocean-events,58700,build_failed
blueocean-bitbucket-pipeline,59138,build_failed
conditional-buildstep,55000,success
envinject-api,54592,success
commons-compress-api,52071,success
blueocean,56676,build_failed
envinject,51973,success
gitlab-plugin,53010,success
sonar,50476,build_failed
docker-java-api,48488,success
prism-api,51080,success
ansicolor,48180,success
rebuild,45529,success
mercurial,42466,success
copyartifact,43335,success
docker-plugin,43473,success
kubernetes-client-api,40862,success
kubernetes-credentials,40115,success
cloud-stats,39809,success
uno-choice,41212,success
slack,37856,success
aws-java-sdk-minimal,36574,build_failed
configuration-as-code,40295,success
kubernetes,37225,success
build-user-vars-plugin,35937,success
aws-credentials,35730,success
generic-webhook-trigger,35436,success
blueocean-autofavorite,35206,build_failed
aws-java-sdk-ec2,35134,build_failed
pipeline-model-declarative-agent,35692,success
jira,35202,success
jobConfigHistory,34860,success
ssh,32761,build_failed
job-dsl,37800,success
extended-choice-parameter,30958,build_failed
build-name-setter,31050,success
forensics-api,32167,success
active-directory,30773,success
http_request,30542,success
dashboard-view,30557,success
oss-symbols-api,29457,success
thinBackup,29066,success
groovy,26505,success
aws-java-sdk-ecr,25102,build_failed
locale,25641,success
aws-java-sdk,23789,build_failed
aws-java-sdk-iam,23517,build_failed
aws-java-sdk-cloudformation,23478,build_failed
aws-java-sdk-elasticbeanstalk,23467,build_failed
ssh-steps,23703,success
simple-theme-plugin,23295,success
jnr-posix-api,22611,success
gitlab-api,22381,success
pipeline-maven,26768,success
aws-java-sdk-sqs,22017,build_failed
aws-java-sdk-sns,21986,build_failed
blueocean-jira,22896,build_failed
authorize-project,21986,success
aws-java-sdk-ecs,20945,build_failed
analysis-model-api,22081,success
bitbucket,21452,success
aws-java-sdk-ssm,20370,build_failed
aws-java-sdk-codebuild,20369,build_failed
mask-passwords,20532,success
emailext-template,20620,success
artifactory,20263,build_failed
aws-java-sdk-logs,20354,build_failed
extended-read-permission,19711,success
badge,19820,success
monitoring,19189,build_failed
warnings-ng,21053,success
throttle-concurrents,19634,success
aws-java-sdk-efs,19022,build_failed
parameterized-scheduler,19116,success
powershell,18819,success
ansible,18983,success
commons-httpclient3-api,18508,success
Office-365-Connector,18437,success
jacoco,18023,build_failed
pipeline-maven-api,19074,success
code-coverage-api,18356,build_failed
msbuild,17987,success
prometheus,17945,success
built-on-column,17900,success
nodelabelparameter,17663,success
multiple-scms,17228,build_failed
saml,17553,success
groovy-postbuild,17533,success
build-pipeline-plugin,17514,build_failed
h2-api,16802,success
aws-java-sdk-secretsmanager,16538,build_failed
postbuild-task,16909,success
aws-java-sdk-kinesis,16433,build_failed
cobertura,16471,build_failed
aws-java-sdk-elasticloadbalancingv2,16023,build_failed
aws-java-sdk-lambda,16023,build_failed
aws-java-sdk-cloudfront,16021,build_failed
aws-java-sdk-organizations,16018,build_failed
aws-java-sdk-codedeploy,16012,build_failed
allure-jenkins-plugin,16253,build_failed
coverage,16315,success
