Name	Installation Count (June 2025)	Java 25 pull request	Is merged?
script-security	202619		FALSE
structs	202235		FALSE
mailer	202116	https://github.com/jenkinsci/mailer-plugin/pull/381	TRUE
scm-api	202114		FALSE
workflow-step-api	202031		FALSE
credentials	201987		FALSE
display-url-api	201728		FALSE
bouncycastle-api	201692		FALSE
ssh-credentials	201567		FALSE
workflow-api	200861		FALSE
workflow-scm-step	200444		FALSE
apache-httpcomponents-client-4-api	200288		FALSE
workflow-support	199978		FALSE
jackson2-api	199316		FALSE
junit	199034		FALSE
plain-credentials	198940		FALSE
git-client	198124		FALSE
credentials-binding	197742		FALSE
matrix-project	197437		FALSE
token-macro	196709		FALSE
cloudbees-folder	196691		FALSE
git	196667		FALSE
workflow-job	196253		FALSE
durable-task	195628		FALSE
workflow-cps	194949		FALSE
workflow-durable-task-step	194361		FALSE
antisamy-markup-formatter	194146		FALSE
branch-api	193830		FALSE
trilead-api	193627		FALSE
workflow-basic-steps	193008		FALSE
pipeline-stage-step	192740		FALSE
pipeline-input-step	192278		FALSE
workflow-multibranch	192201		FALSE
pipeline-stage-tags-metadata	191514		FALSE
pipeline-model-api	191439		FALSE
pipeline-build-step	191063		FALSE
pipeline-model-extensions	190247		FALSE
pipeline-milestone-step	190054		FALSE
snakeyaml-api	189963		FALSE
pipeline-model-definition	188925		FALSE
pipeline-graph-analysis	187210		FALSE
plugin-util-api	186964		FALSE
jquery3-api	186790		FALSE
matrix-auth	186292		FALSE
font-awesome-api	186171		FALSE
echarts-api	185786		FALSE
caffeine-api	184785		FALSE
checks-api	184577		FALSE
workflow-aggregator	183637		FALSE
variant	179929		FALSE
jaxb	179835		FALSE
ssh-slaves	179777		FALSE
bootstrap5-api	179264		FALSE
javax-activation-api	178526		FALSE
resource-disposer	178132		FALSE
github-api	176697		FALSE
timestamper	176340		FALSE
ws-cleanup	175775		FALSE
okhttp-api	175072		FALSE
ldap	174202		FALSE
github	174091		FALSE
pam-auth	171609		FALSE
email-ext	170725		FALSE
github-branch-source	170566		FALSE
mina-sshd-api-common	168246		FALSE
ant	167949		FALSE
jakarta-activation-api	167939		FALSE
jakarta-mail-api	167917		FALSE
mina-sshd-api-core	167061		FALSE
build-timeout	166274		FALSE
commons-lang3-api	165286		FALSE
ionicons-api	164442		FALSE
instance-identity	162883		FALSE
commons-text-api	162358		FALSE
pipeline-groovy-lib	162218		FALSE
jjwt-api	160198		FALSE
gradle	159032		FALSE
javax-mail-api	152745		FALSE
pipeline-github-lib	152196		FALSE
command-launcher	146835		FALSE
jdk-tool	146789		FALSE
pipeline-rest-api	144171		FALSE
sshd	143567		FALSE
jsch	142534		FALSE
pipeline-stage-view	141108		FALSE
gson-api	138158		FALSE
json-path-api	134553		FALSE
json-api	133298		FALSE
joda-time-api	130366		FALSE
asm-api	128420		FALSE
eddsa-api	120024		FALSE
authentication-tokens	113990	https://github.com/jenkinsci/authentication-tokens-plugin/pull/223	TRUE
javadoc	99468		FALSE
metrics	95706		FALSE
maven-plugin	90767		FALSE
docker-commons	89554		FALSE
git-server	86603		FALSE
config-file-provider	83300	https://github.com/jenkinsci/config-file-provider-plugin/pull/384	TRUE
docker-workflow	79021		FALSE
ace-editor	77939		FALSE
theme-manager	74050		FALSE
lockable-resources	73627		FALSE
htmlpublisher	73422		FALSE
momentjs	72886		FALSE
role-strategy	72466		FALSE
dark-theme	70837		FALSE
handlebars	65936		FALSE
handy-uri-templates-2-api	64246		FALSE
mapdb-api	62379		FALSE
workflow-cps-global-lib	61474		FALSE
popper2-api	61326		FALSE
pipeline-graph-view	60788		FALSE
subversion	57532		FALSE
external-monitor-job	56984		FALSE
jersey2-api	56950		FALSE
favorite	56368		FALSE
pubsub-light	56062		FALSE
jquery	55297		FALSE
cloudbees-bitbucket-branch-source	54883		FALSE
data-tables-api	54177		FALSE
blueocean-commons	54096		FALSE
parameterized-trigger	54089		FALSE
jenkins-design-language	54050		FALSE
blueocean-rest	53808		FALSE
publish-over	52294		FALSE
blueocean-core-js	52076		FALSE
blueocean-web	51829		FALSE
nodejs	51820		FALSE
blueocean-jwt	51517		FALSE
blueocean-pipeline-scm-api	51470		FALSE
apache-httpcomponents-client-5-api	50791		FALSE
blueocean-rest-impl	50768		FALSE
sse-gateway	50546		FALSE
ssh-agent	50248		FALSE
blueocean-pipeline-api-impl	50201		FALSE
popper-api	50014		FALSE
pipeline-utility-steps	49620		FALSE
run-condition	48618		FALSE
windows-slaves	48167		FALSE
blueocean-git-pipeline	48130		FALSE
blueocean-dashboard	48003		FALSE
publish-over-ssh	47647		FALSE
bootstrap4-api	47389		FALSE
blueocean-github-pipeline	47376		FALSE
git-parameter	47120		FALSE
blueocean-i18n	46698		FALSE
blueocean-display-url	46630		FALSE
blueocean-personalization	46526		FALSE
blueocean-config	46435		FALSE
localization-support	46340		FALSE
blueocean-pipeline-editor	46200		FALSE
blueocean-bitbucket-pipeline	46119		FALSE
blueocean-events	45794		FALSE
localization-zh-cn	45598		FALSE
conditional-buildstep	44557		FALSE
envinject-api	44250		FALSE
blueocean	44120		FALSE
jquery-detached	43782		FALSE
envinject	42000		FALSE
gitlab-plugin	41385		FALSE
commons-compress-api	40347		FALSE
sonar	39938		FALSE
prism-api	39573		FALSE
ansicolor	38625		FALSE
docker-java-api	37254		FALSE
rebuild	36721		FALSE
copyartifact	34986		FALSE
mercurial	34525		FALSE
uno-choice	34201		FALSE
docker-plugin	33437		FALSE
kubernetes-client-api	31123		FALSE
slack	30833		FALSE
kubernetes-credentials	30618		FALSE
configuration-as-code	30436		FALSE
cloud-stats	30278		FALSE
build-user-vars-plugin	29861		FALSE
aws-java-sdk-minimal	29541		FALSE
job-dsl	29461		FALSE
aws-credentials	28960		FALSE
aws-java-sdk-ec2	28509		FALSE
jira	28386		FALSE
jobConfigHistory	28322		FALSE
kubernetes	28288		FALSE
generic-webhook-trigger	28249		FALSE
pipeline-model-declarative-agent	28078		FALSE
blueocean-autofavorite	28016		FALSE
ssh	26121		FALSE
forensics-api	25536		FALSE
build-name-setter	25246		FALSE
extended-choice-parameter	25184		FALSE
active-directory	24912		FALSE
http_request	24773		FALSE
dashboard-view	24576		FALSE
thinBackup	23921		FALSE
oss-symbols-api	22912		FALSE
groovy	21438		FALSE
pipeline-maven	20891		FALSE
aws-java-sdk-ecr	20643		FALSE
aws-java-sdk	19766		FALSE
locale	19744		FALSE
aws-java-sdk-iam	19322		FALSE
aws-java-sdk-cloudformation	19278		FALSE
aws-java-sdk-elasticbeanstalk	19273		FALSE
ssh-steps	19010		FALSE
jnr-posix-api	18642		FALSE
simple-theme-plugin	18572		FALSE
blueocean-jira	18162		FALSE
aws-java-sdk-sqs	18098		FALSE
aws-java-sdk-sns	18070		FALSE
authorize-project	17816		FALSE
gitlab-api	17720		FALSE
bitbucket	17557		FALSE
aws-java-sdk-ecs	17467		FALSE
analysis-model-api	17346		FALSE
aws-java-sdk-ssm	17017		FALSE
aws-java-sdk-codebuild	17008		FALSE
aws-java-sdk-logs	17003		FALSE
jsoup	16575		FALSE
warnings-ng	16517		FALSE
emailext-template	16457		FALSE
mask-passwords	16216		FALSE
artifactory	16156		FALSE
badge	15990		FALSE
throttle-concurrents	15961		FALSE
parameterized-scheduler	15931		FALSE
aws-java-sdk-efs	15880		FALSE
extended-read-permission	15753		FALSE
Office-365-Connector	15625		FALSE
powershell	15283		FALSE
ansible	15207		FALSE
commons-httpclient3-api	15165		FALSE
monitoring	15109		FALSE
pipeline-maven-api	14878		FALSE
nodelabelparameter	14572		FALSE
code-coverage-api	14498		FALSE
saml	14452		FALSE
msbuild	14379		FALSE
built-on-column	14278		FALSE
multiple-scms	14202		FALSE
jacoco	14145		FALSE
groovy-postbuild	14137		FALSE
build-pipeline-plugin	14035		FALSE
prometheus	13834		FALSE
aws-java-sdk-secretsmanager	13736		FALSE
aws-java-sdk-kinesis	13710		FALSE
h2-api	13639		FALSE
postbuild-task	13589		FALSE
aws-java-sdk-lambda	13082		FALSE
aws-java-sdk-elasticloadbalancingv2	13079		FALSE
aws-java-sdk-organizations	13079		FALSE
aws-java-sdk-cloudfront	13078		FALSE
aws-java-sdk-codedeploy	13073		FALSE
aws-java-sdk-api-gateway	13068		FALSE
coverage	12971		FALSE
cobertura	12917		FALSE
allure-jenkins-plugin	12686		FALSE
job-import-plugin	12562		FALSE
extensible-choice-parameter	12498		FALSE
cvs	12466		FALSE
icon-shim	12384		FALSE
node-iterator-api	12140		FALSE
ivy	11867		FALSE
build-timestamp	11847		FALSE
pipeline-aws	11792		FALSE
Parameterized-Remote-Trigger	11665		FALSE
aws-java-sdk2-core	11631		FALSE
aws-java-sdk2-ec2	11604		FALSE
gitlab-oauth	11161		FALSE
xunit	11048		FALSE
oauth-credentials	10958		FALSE
jenkins-multijob-plugin	10857		FALSE
